192.168.46.29, 2012-01-09 14:03:40, GET, /, HTTP/1.1, 303, 0.000995
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/default/index, HTTP/1.1, 200, 1.366410
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000424
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000300
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000303
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000295
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000329
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000312
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000307
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000510
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000740
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000314
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000405
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000424
192.168.46.29, 2012-01-09 14:03:42, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000312
192.168.46.29, 2012-01-09 14:03:53, GET, /admin/default/index, HTTP/1.1, 200, 0.151075
192.168.46.29, 2012-01-09 14:03:54, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000405
192.168.46.29, 2012-01-09 14:03:54, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000354
192.168.46.29, 2012-01-09 14:03:54, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000335
192.168.46.29, 2012-01-09 14:03:54, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000362
192.168.46.29, 2012-01-09 14:03:54, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000314
192.168.46.29, 2012-01-09 14:03:54, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000324
