127.0.0.1, 2011-12-30 00:11:50, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.995000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:51, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:52, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:52, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/default/index, HTTP/1.1, 200, 0.070000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:56, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:57, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:57, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:57, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:57, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2011-12-30 00:11:57, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:11:57, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-12-30 00:11:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2011-12-30 00:11:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2011-12-30 00:11:59, POST, /admin/default/index, HTTP/1.1, 303, 0.061000
127.0.0.1, 2011-12-30 00:11:59, GET, /admin/default/site, HTTP/1.1, 200, 0.094000
127.0.0.1, 2011-12-30 00:11:59, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2011-12-30 00:11:59, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2011-12-30 00:11:59, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2011-12-30 00:11:59, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2011-12-30 00:11:59, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.011000
127.0.0.1, 2011-12-30 00:12:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2011-12-30 00:12:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2011-12-30 00:12:00, POST, /admin/default/check_version, HTTP/1.1, 200, 0.648000
127.0.0.1, 2011-12-30 00:12:01, GET, /admin/default/twitter, HTTP/1.1, 200, 1.792000
127.0.0.1, 2011-12-30 00:12:17, POST, /admin/default/site, HTTP/1.1, 303, 0.069000
127.0.0.1, 2011-12-30 00:12:17, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2011-12-30 00:12:21, GET, /admin/default/twitter, HTTP/1.1, 200, 3.185000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/default/site, HTTP/1.1, 200, 0.088000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:27, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2011-12-30 00:12:28, GET, /admin/default/twitter, HTTP/1.1, 200, 1.689000
127.0.0.1, 2011-12-30 00:12:34, GET, /googlemaps/default/index, HTTP/1.1, 500, 0.118000
127.0.0.1, 2011-12-30 00:12:42, GET, /admin/default/ticket/googlemaps/127.0.0.1.2011-12-30.00-12-34.fa593494-0a38-4294-bb91-9eb849f8058d, HTTP/1.1, 200, 0.110000
127.0.0.1, 2011-12-30 00:12:42, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:12:42, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:13:30, GET, /admin/default/site, HTTP/1.1, 200, 0.077000
127.0.0.1, 2011-12-30 00:13:32, GET, /admin/default/twitter, HTTP/1.1, 200, 1.707000
127.0.0.1, 2011-12-30 00:13:35, GET, /admin/default/design/googlemaps, HTTP/1.1, 200, 0.089000
127.0.0.1, 2011-12-30 00:13:35, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-12-30 00:13:40, GET, /admin/default/plugin/googlemaps/gmap, HTTP/1.1, 200, 0.069000
